gene,Tumor digest,pre-REP,post-REP Conv,post-REP CytoTIL15,PDx Conv,PDx CytoTIL15
LZTR1,0.0244807121661721,0.038017751479289937,0.07073170731707316,0.04044139938155581,0.01319261213720316,0.03546099290780142
LZTS1,0.02225519287833828,0.1529585798816568,0.11445993031358884,0.10677257018128904,0.0316622691292876,0.10638297872340426
LZTS2,0.01409495548961424,0.02588757396449704,0.01777003484320557,0.01206572485296792,0.01055408970976253,0.01654846335697399
LZTS3,0.00667655786350148,0.00532544378698224,0.00365853658536585,0.00236463954404899,0.00527704485488126,NA
M1AP,7.41839762611276e-4,7.396449704142012e-4,8.710801393728223e-4,3.637906990844601e-4,NA,NA
M6PR,0.19732937685459945,0.3341715976331361,0.5493031358885018,0.4504335172497423,0.23218997361477572,0.2222222222222222
MAATS1,0.00667655786350148,1.4792899408284024e-4,5.226480836236934e-4,3.637906990844601e-4,NA,NA
MACC1,0.00667655786350148,0.00177514792899408,0.00156794425087108,0.00109137209725338,0.0158311345646438,0.00945626477541371
MACF1,0.5682492581602374,0.813905325443787,0.8878048780487805,0.7869399139028679,0.554089709762533,0.6572104018912529
MACO1,0.2129080118694362,0.2534023668639053,0.27125435540069687,0.24216334202388892,0.1503957783641161,0.2316784869976359
MACROD1,0.00890207715133531,0.06094674556213018,0.05662020905923345,0.036379069908446,0.0316622691292876,0.02364066193853428
MACROD2,0.01409495548961424,0.00325443786982248,0.01132404181184669,0.00624507366761656,0.01319261213720316,0.02364066193853428
MAD1L1,0.13649851632047477,0.5729289940828403,0.6130662020905924,0.4278784939065058,0.10554089709762532,0.1702127659574468
MAD2L1,0.07418397626112759,0.2878698224852071,0.466376306620209,0.3316558539986661,0.1899736147757256,0.2293144208037825
MAD2L1BP,0.0400593471810089,0.06982248520710059,0.14825783972125436,0.10149760504456436,0.04749340369393139,0.05437352245862884
MAD2L2,0.09792284866468842,0.19689349112426036,0.4174216027874565,0.2590189777481356,0.11873350923482848,0.20567375886524825
MADCAM1,0.00445103857566765,0.01094674556213017,0.00923344947735191,0.00782150003031589,0.00263852242744063,0.00472813238770685
MADD,0.11053412462908012,0.28062130177514794,0.21898954703832751,0.18935305887346143,0.0712401055408971,0.10401891252955082
MAEA,0.09198813056379822,0.1559171597633136,0.21881533101045297,0.161826229309404,0.0949868073878628,0.1182033096926714
MAF,0.5578635014836796,0.578698224852071,0.7031358885017421,0.7253380221912327,0.158311345646438,0.13002364066193853
MAF1,0.16172106824925817,0.2816568047337278,0.3102787456445993,0.2158491481234463,0.1952506596306069,0.20094562647754136
MAFA,0.00222551928783382,8.875739644970414e-4,NA,NA,NA,NA
MAFB,0.02818991097922848,NA,NA,6.0631783180743344e-5,0.01846965699208443,0.01418439716312056
MAFF,0.08902077151335312,0.04792899408284024,0.0078397212543554,0.00824592251258109,0.05277044854881266,0.14184397163120568
MAFG,0.05044510385756676,0.1066568047337278,0.13275261324041812,0.100163705814588,0.0395778364116095,0.05200945626477541
MAFIP,0.03635014836795252,0.02455621301775147,0.03745644599303135,0.03898623658521797,0.02110817941952506,0.00236406619385342
MAFK,0.04525222551928783,0.02588757396449704,0.03780487804878049,0.0395925544170254,0.01055408970976253,0.02127659574468085
MAGED1,0.1201780415430267,0.23328402366863904,0.2400696864111498,0.2302795125204632,0.06068601583113457,0.09692671394799054
MAGED2,0.08902077151335312,0.20118343195266272,0.193205574912892,0.13266234159946644,0.1108179419525066,0.1867612293144208
MAGEE1,0.0029673590504451,0.00473372781065088,0.00418118466898954,0.00594191475171284,NA,0.00472813238770685
MAGEF1,0.02077151335311572,0.01420118343195266,0.01480836236933797,0.01012550779118413,0.01846965699208443,0.01418439716312056
MAGEH1,0.1476261127596439,0.05384615384615385,0.06602787456445992,0.05020311647365549,0.04485488126649076,0.06146572104018912
MAGI1,0.03857566765578635,0.05828402366863905,0.3327526132404181,0.12338567877281272,0.366754617414248,0.2695035460992908
MAGI2,0.01780415430267062,0.00488165680473372,0.00644599303135888,0.00569938761898987,0.0158311345646438,0.03782505910165484
MAGI3,0.04451038575667656,0.02736686390532544,0.0264808362369338,0.02025101558236827,0.01055408970976253,0.02127659574468085
MAGIX,0.0029673590504451,0.0059171597633136,0.00522648083623693,0.00660886436670102,0.00263852242744063,0.00236406619385342
MAGOH,0.2737388724035608,0.4513313609467456,0.7346689895470383,0.6082580488692172,0.3905013192612138,0.491725768321513
MAGOHB,0.08902077151335312,0.16701183431952665,0.3698606271777003,0.2729036560965258,0.13720316622691292,0.18203309692671396
MAGT1,0.24851632047477745,0.27514792899408286,0.39634146341463417,0.3244406718001576,0.17678100263852242,0.2033096926713948
MAIP1,0.06231454005934718,0.1294378698224852,0.13937282229965156,0.09270599648335658,0.02902374670184696,0.08037825059101655
MAK,0.02893175074183976,0.04837278106508876,0.07247386759581882,0.05426544594676529,0.01319261213720316,0.0260047281323877
MAK16,0.02893175074183976,0.07411242603550296,0.14337979094076655,0.1386042563511793,0.04749340369393139,0.06619385342789598
MAL,0.04599406528189911,0.5931952662721893,0.31167247386759583,0.3953192263384466,0.02638522427440633,0.03073286052009456
MALL,0.00370919881305638,1.4792899408284024e-4,NA,NA,NA,NA
MALRD1,0.00445103857566765,0.00118343195266272,0.00104529616724738,0.00236463954404899,0.00263852242744063,0.00236406619385342
MALSU1,0.08234421364985163,0.20162721893491128,0.331184668989547,0.19838719456739223,0.14511873350923482,0.12293144208037823
MALT1,0.3486646884272997,0.4205621301775148,0.35121951219512193,0.3041290244346086,0.1820580474934037,0.1938534278959811
MAMDC2,0.00667655786350148,0.00650887573964497,0.00313588850174216,0.00327411629176014,0.04485488126649076,0.00945626477541371
MAMDC4,0.01038575667655786,0.00946745562130177,0.0102787456445993,0.00618444188443582,0.0158311345646438,0.01891252955082742
MAML1,0.13724035608308605,0.16642011834319526,0.1808362369337979,0.17965197356454254,0.09234828496042216,0.13238770685579196
MAML2,0.42729970326409494,0.7211538461538461,0.6951219512195121,0.5592069362759958,0.4300791556728232,0.4137115839243498
MAML3,0.04896142433234421,0.4708579881656805,0.27125435540069687,0.16273570605711513,0.04749340369393139,0.0591016548463357
MAMLD1,0.18768545994065283,0.09541420118343195,0.185191637630662,0.14769902382829078,0.11873350923482848,0.06619385342789598
MAMSTR,0.00370919881305638,0.00621301775147929,0.00940766550522648,0.00497180622082095,NA,0.00236406619385342
MAN1A1,0.43026706231454,0.4264792899408284,0.5977351916376307,0.4315164008973504,0.2955145118733509,0.3262411347517731
MAN1A2,0.2388724035608309,0.5149408284023669,0.6240418118466899,0.5117928818286546,0.2532981530343008,0.2718676122931442
MAN1B1,0.08234421364985163,0.14497041420118342,0.13641114982578398,0.10246771357545624,0.06596306068601583,0.04728132387706856
MAN1C1,0.04896142433234421,0.09911242603550297,0.03658536585365853,0.0117625659370642,0.00527704485488126,0.00472813238770685
MAN2A1,0.4495548961424332,0.3674556213017752,0.3423344947735192,0.3117686291153823,0.1662269129287599,0.21749408983451535
MAN2A2,0.04747774480712166,0.0856508875739645,0.10313588850174216,0.06990844600739708,0.03693931398416886,0.03782505910165484
MAN2B1,0.04228486646884273,0.05325443786982249,0.05801393728222996,0.04729279088097981,0.01319261213720316,0.04964539007092199
MAN2B2,0.04154302670623145,0.07810650887573964,0.13554006968641116,0.08912872127569271,0.02638522427440633,0.02836879432624113
MAN2C1,0.07418397626112759,0.08816568047337278,0.11777003484320556,0.1084096283271691,0.02902374670184696,0.03782505910165484
MANBA,0.22032640949554896,0.24792899408284025,0.22613240418118463,0.15843084945128236,0.23482849604221637,0.26004728132387706
