gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,mlog10p
CA2,6.4284090877072775e-9,0.3263290009250307,0.085,0,1.280024817544273e-4,8.19189649362607
PLPP1,7.011521031835471e-9,0.7485408895995787,0.686,0.536,1.396134067859079e-4,8.154187758912464
MGAT5,8.50450714763817e-9,0.4904556990395567,0.236,0.082,1.6934174632377122e-4,8.070350849513272
RPS8,8.546847970963881e-9,-0.3212326515882413,0.979,0.971,1.701848367978328e-4,8.068194021085754
MT-CO3,8.830884960655243e-9,0.33549409894496574,0.962,0.926,1.758405813365672e-4,8.053995772722407
PON3,8.973766078351154e-9,-0.5780892541113504,0.064,0.195,1.786856301521282e-4,8.047025255530087
RPL8,9.716543628648924e-9,-0.2970089901259385,0.983,0.976,1.9347581673365738e-4,8.012488194945776
TGFBR3,9.992407661279194e-9,0.5532905673168864,0.449,0.245,1.9896882135139133e-4,8.000329856316014
JUN,1.5478105698306666e-8,0.44437759210046623,0.896,0.818,3.0820004066468235e-4,7.810282191916235
RPS4X,1.554395182653711e-8,-0.26949624808392425,0.979,0.989,3.095111687700069e-4,7.808438558361795
CD48,1.5593700776135956e-8,0.5653814658130749,0.243,0.095,3.105017698544192e-4,7.807050803610265
CAMK2N1,2.123041178045839e-8,-0.650878774928983,0.047,0.166,4.227399593724874e-4,7.673041582270812
ZFP36L2,2.284326491302899e-8,0.5022960883538032,0.813,0.665,4.5485509094823326e-4,7.641241823702142
ACSL4,2.479458386006781e-8,-0.5945471194651646,0.338,0.499,4.937097538216702e-4,7.605643176293737
CD82,2.508082822919713e-8,-0.579210068887857,0.371,0.525,4.994094516997732e-4,7.6006581261574695
COX17,2.5757785654131512e-8,-0.5008421946231418,0.596,0.686,5.128890279450667e-4,7.589091475144808
RPL34,2.604463339218661e-8,-0.30283474065817284,0.986,0.989,5.186007401052198e-4,7.584281751376646
EEF1A1,2.6644645042163355e-8,-0.268837952827524,0.991,0.992,5.305481720795567e-4,7.574390061020989
EVL,2.6906829522840585e-8,0.3961551469211875,0.695,0.488,5.357687894588018e-4,7.570137472873726
LRRN3,3.1205147719756563e-8,0.510779533892884,0.246,0.095,6.213569013957927e-4,7.505773757203486
SYTL2,3.2262250603945193e-8,0.37021458747577685,0.329,0.145,6.424059340257567e-4,7.49130533965068
TPT1,3.4420792454978593e-8,0.291216131993294,0.993,0.958,6.853868193635338e-4,7.463179135319829
GPX4,3.560715345551682e-8,-0.47343064982344263,0.622,0.723,7.090096396062509e-4,7.448462743763954
RPS27A,4.0411996608102843e-08,-0.25301347812791786,0.998,0.997,8.046836764605438e-4,7.393489692134419
OXNAD1,4.087554193064756e-8,0.45356622253846646,0.4,0.203,8.139137909230541e-4,7.388536476388426
ATP5MC1,4.206649376147442e-8,-0.601702422570928,0.511,0.609,8.376280237784787e-4,7.3760636848810845
LAYN,4.230898952021271e-8,0.4600299194939099,0.426,0.24,8.424565993264754e-4,7.373567346945618
TBC1D10C,4.2637239533717366e-8,0.3723221262541384,0.362,0.172,8.489927135953802e-4,7.370210920634439
ARPC2,4.392962563131644e-8,0.34476803153352265,0.91,0.81,8.74726705570773e-4,7.357242497780576
UBC,5.799166136086151e-8,0.3102771030609026,0.96,0.9,0.0011547299610174743,7.236634449287319
CD27,7.064676994086133e-8,-0.5814390017852161,0.04,0.148,0.001406718483062431,7.150907689851211
SUSD6,7.261928795299057e-8,0.56857396956471,0.392,0.208,0.0014459952617199483,7.1389480137487
GK,7.421519477981916e-8,-0.7428735567004472,0.348,0.501,0.001477772958455759,7.12950716839423
RPL35,8.297006446365017e-8,-0.32092358647345254,0.965,0.987,0.0016520999236002021,7.081078572483129
RGCC,8.986078349522127e-8,-0.4208801300265468,0.764,0.868,0.001789307920956846,7.046429799117489
CREM,1.0112026887983992e-7,0.34469564971946554,0.896,0.794,0.0020135067939353727,6.99516178426664
CD86,1.1825115822245966e-7,0.5371793100770207,0.303,0.142,0.002354617062525617,6.927194596829816
PHYKPL,1.2466022968373965e-7,0.41957423972284213,0.272,0.119,0.002482234493462624,6.904272077265223
CD3D,1.2858676135563625e-7,0.2801507770426319,0.962,0.91,0.002560419592113429,6.890803741879551
TNFSF12,1.3929252294756325e-7,0.43989453711124243,0.196,0.069,0.0027735927169318794,6.8560721953475126
CEMIP2,1.4683125358381928e-7,0.6604775494331501,0.608,0.43,0.0029237039213610093,6.833181493368651
GRIK4,1.5657849234907734e-7,-0.5831940338011746,0.052,0.164,0.003117790939654828,6.8052678929524175
RGL4,1.5779330790731852e-7,0.3334413078035139,0.113,0.018,0.0031419803470505263,6.801911419381052
EML4,1.5841902812221103e-7,0.3465126260237421,0.617,0.409,0.003154439687969466,6.800192655371755
MYL12A,1.612802364497495e-7,0.3975292102664505,0.898,0.813,0.0032114120681874117,6.792418848523593
CXCL13,1.6159960689104117e-7,-1.098673505675235,0.184,0.338,0.0032177713724144117,6.791559700029621
RPL24,1.6398176290683702e-7,-0.2727646562048065,0.965,0.989,0.003265204863000939,6.785204448960432
IL1RN,1.7100600504010498e-7,-0.5687439510759131,0.054,0.166,0.0034050715723585702,6.766988638672231
ITGA1,1.7566929443367874e-7,0.45068511271617395,0.461,0.266,0.003497926990763411,6.755304143020337
HNRNPH1,1.773230070302153e-7,-0.4872187872805478,0.634,0.731,0.0035308557159856474,6.751234912577099
MT-ND1,1.977366704925695e-7,0.4087667702485729,0.759,0.602,0.003937332582848044,6.703912782806954
RPL18A,1.9790506992555873e-7,-0.27202925843074954,0.993,0.976,0.003940685752357726,6.703543079909368
ARPC3,2.0590534518628994e-7,0.3381891017696139,0.882,0.747,0.004099987233349405,6.686332379196542
AFAP1L2,2.3483698792839063e-7,0.4473081645601451,0.343,0.177,0.004676074103630115,6.6292334986165855
ATP10D,2.433325291601818e-7,0.4010624316749771,0.319,0.15,0.00484523732063754,6.613799829867176
RNF166,2.581266863057029e-7,0.3165557178941373,0.18,0.055,0.005139818577719156,6.588167093804873
SLFN12L,2.869074014823042e-7,0.4314836854882136,0.364,0.19,0.005712900178315641,6.542258247914823
PPIA,3.123458496757813e-7,-0.3072869649451082,0.957,0.958,0.0062194305587441575,6.505364260407511
TSTA3,3.1515799862225075e-7,0.37975797238524045,0.298,0.14,0.006275426068566257,6.501471666125469
FABP5,3.306736928513207e-7,-0.6114928120984198,0.712,0.76,0.006584374572055498,6.480600354538855
CTSC,3.602905081978387e-7,0.48772739664744025,0.525,0.343,0.007174104599235363,6.443347179153039
HCST,4.1452674898453705e-7,0.33893994152515594,0.908,0.815,0.008254056625780102,6.38244743963347
METTL5,4.382676804728605e-7,0.34466555753240924,0.26,0.113,0.008726786053575599,6.3582605546935715
TSEN54,4.783065758075835e-7,0.4117274678303622,0.227,0.092,0.009524040537480603,6.320293648362164
LAT2,4.906083059550722e-7,0.38352644002243647,0.213,0.082,0.009768992588177396,6.309265103500364
RALGAPA1,6.804667232103315e-7,0.32855498516958503,0.693,0.52,0.013549453392564121,6.16719310819686
SRSF7,7.024153525671239e-7,0.36494205129680113,0.804,0.691,0.01398649450031657,6.153406004701158
HNRNPF,7.029535169014063e-7,0.3431143486229564,0.598,0.388,0.013997210428540803,6.153073391937011
IL2RA,9.092210024991643e-7,0.5847864445404447,0.217,0.095,0.01810440860176336,6.041330540870358
IFITM2,9.579256143115628e-7,0.49947471652239717,0.567,0.385,0.019074214832171837,6.018668213831986
IL4R,9.896039908953408e-7,0.3807424314123148,0.317,0.161,0.019704994666708026,6.004538561943679
HLA-DRA,9.956279208008943e-7,-0.5127459219483379,0.778,0.792,0.019824943158987408,6.0019029327949305
GZMH,1.0018717569482084e-6,0.5928693586037741,0.31,0.156,0.019949270424352725,5.999187866107671
WHRN,1.0228800394168873e-6,-0.5082850804501751,0.388,0.533,0.02036758734486906,5.990175296174586
MYO1E,1.1374658480144778e-6,0.5003355444132089,0.629,0.441,0.022649219965664283,5.944061634004053
WDFY2,1.256828288275414e-6,0.3998253177019596,0.357,0.19,0.025025964876140044,5.900724052901521
CORO1A,1.5266070706487446e-6,0.3390208075926515,0.877,0.778,0.030397799990757802,5.81627273046705
ST13,1.561506954640787e-6,-0.5096761816365105,0.34,0.472,0.03109272648080735,5.806456077168402
TIE1,1.5704978543764067e-6,-0.5444239148913304,0.092,0.208,0.03127175327634301,5.803962652600799
CXCR6,1.7087870443847533e-6,0.41548244862233263,0.121,0.029,0.03402536762778921,5.767312057356091
ICOS,1.8152038544553473e-6,0.5310642099324598,0.508,0.343,0.03614433914991488,5.741074594928921
ZNF282,1.9285926670879024e-6,0.39300298690959723,0.253,0.116,0.03840213718705431,5.714759488849766
FLOT1,2.1038806539508736e-6,0.3312118796379939,0.229,0.1,0.041892471581469796,5.676978899879826
GABARAPL1,2.1240712206805638e-6,0.4315806735179018,0.22,0.095,0.04229450614619139,5.672830925335388
CDKN2A,2.1719129412199767e-6,0.2884007274353021,0.147,0.045,0.043247130485572174,5.663157586958662
ATP2A3,2.302090906330928e-6,0.3432060522445418,0.168,0.058,0.04583923412686144,5.637877530689557
DGKH,2.3300355979601737e-6,-0.5485336168864743,0.383,0.496,0.04639566882658298,5.632637443832534
CD96,2.4339527968517706e-6,0.3822879590515762,0.79,0.644,0.04846486809091246,5.613687848565111
RPL38,2.7974942228614036e-6,-0.3929400869652424,0.747,0.778,0.05570370496561627,5.553230801665387
AOAH,2.971787115150367e-6,0.4735110727733555,0.135,0.04,0.059174225036874105,5.52698230461096
STK17A,3.0503563812330176e-6,0.3738555856690564,0.435,0.264,0.06073869626311185,5.515649417911821
TBL1X,3.052443262262923e-6,0.4017475731233118,0.357,0.195,0.060780250238179324,5.51535239982047
PDE4A,3.1166882470066687e-6,0.33957271603839073,0.144,0.045,0.06205949637439679,5.506306636727316
HLA-DPA1,3.1831019875314837e-6,-0.486740823974936,0.761,0.797,0.0633819267757269,5.497149446232102
ADAM19,3.2755729864905723e-6,0.433014194508906,0.243,0.113,0.06522320930700028,5.484712719151607
KIAA1324,3.2913198252340394e-6,-0.62096828725628,0.177,0.309,0.06553676036006019,5.482629914246021
H3F3A,3.406536900821459e-6,0.3255913405503308,0.875,0.81,0.06783096276915689,5.467686902266537
TENT5C,3.534872836270917e-6,0.3752678826660386,0.248,0.113,0.0703863879158265,5.4516262049220146
NCS1,3.695172169554887e-6,0.42668681436789246,0.253,0.121,0.07357826824017691,5.43236532166816
ETS2,3.779407238735837e-6,0.33251627554894575,0.161,0.055,0.07525555693770798,5.422576309457197
CAVIN3,3.9853353195144655e-6,-0.6351054259426911,0.121,0.237,0.07935599688217204,5.399535131911982
IKZF3,4.304339142053587e-6,0.4063362508015482,0.622,0.467,0.08570800099657103,5.366093517611217
CALM1,4.598452326907491e-6,0.3081932118712789,0.929,0.871,0.09156438273338197,5.337388311575209
NKG7,4.719767551132495e-6,0.29584330841729667,0.972,0.879,0.09398001147815024,5.326079389871499
PYCARD,5.4320416273220455e-6,0.3345181323070159,0.504,0.33,0.10816281288323656,5.265036910589302
GNPTAB,5.447392394982761e-6,0.42711542885736264,0.409,0.251,0.10846847736889674,5.2638113398291635
