gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
THRAP3,-0.10037618972503098,8.137869278814184,-0.644940548279554,0.5226452212500792,1,-7.020459371193694
DAZAP1,-0.09322323654450354,8.140313856288163,-0.6414348659888925,0.5248963322547664,1,-7.020327400571906
RNF121,-0.11813400528454512,7.269449286889389,-0.6404220548512358,0.5255476487393507,1,-6.815428219155243
DHX15,0.12127358017674737,7.583398156404168,0.6400427004629979,0.5257917135668968,1,-6.882138594399582
STX10,-0.11087795618226691,7.185525194126027,-0.6365218639412316,0.5280597766655786,1,-6.800461972549282
SPNS1,0.11413264982069699,7.292651644236602,0.6356453126182858,0.5286252395634023,1,-6.810756967374943
SLC52A2,0.12954228249052205,7.4103814610774466,0.6356102614145092,0.5286478577318414,1,-6.8398420519021474
MBNL1,-0.10546044973877593,7.330404425800774,-0.635400607738733,0.5287831556913708,1,-6.830147326505487
POLG,0.120195263613715,7.316656143603604,0.6345789135220499,0.5293136043489988,1,-6.825236889401753
PSMD11,-0.11594862019441689,7.476374833871339,-0.6343136872995574,0.5294848823597789,1,-6.866533174590817
CDV3,0.11139625205071975,7.395899720134952,0.6334394266254885,0.5300496701789019,1,-6.84080309969952
ALG3,-0.11604973690454824,7.263824809843678,-0.633273209384261,0.5301570853767047,1,-6.813644486122715
COL9A3,0.09461746114972845,7.810753050772366,0.6322298922562989,0.5308315741461872,1,-6.944931176159732
MSI2,-0.1249379399893124,7.043443947963243,-0.6319709429546647,0.53099905093864,1,-6.771086218718732
CNIH3,-0.10394508869130559,7.658677474764636,-0.6304340529187266,0.5319936147275672,1,-6.909827557214233
NAXE,0.11579939032992384,7.313926370136277,0.6296341999083693,0.5325116088168664,1,-6.817330142332687
ZMIZ2,0.1075242721085341,7.6917237169423816,0.627120099491112,0.5341414929538082,1,-6.920512319682754
EIF2B1,0.12060413621235185,7.271962008092053,0.625341671100557,0.535296019754911,1,-6.811913105678121
EIF2S2,0.12255750602007087,7.441332685987215,0.6243022851145105,0.5359713761664473,1,-6.860496185452763
SH3PXD2B,0.11457718196344817,7.195848618394842,0.6241068649016982,0.5360984030502634,1,-6.793148246281106
PDLIM4,0.07401069561575589,9.596331694615662,0.6239002428287053,0.536232728463552,1,-7.355224589440362
BNIP3L,0.11781453823349453,7.441185107313169,0.6238605806763516,0.5362585149174257,1,-6.856898553445979
"CASP1P2,CASP1",0.10771483833144907,7.37321838507987,0.6223879070441546,0.5372164358999264,1,-6.848769710829941
ZNF697,0.12669062459008498,7.183553241320835,0.6222896722719021,0.5372803658086114,1,-6.790536085573764
NDUFA11,-0.09570818274581061,7.618128442955576,-0.6175661018423695,0.5403590789885117,1,-6.90821324389614
RPL7,-0.047333042803409636,10.368003206779788,-0.6157794082668546,0.5415259868407942,1,-7.520679033437879
HSPA4,0.1106927062300107,7.487373160856369,0.6144441829479705,0.5423988878536627,1,-6.87284964781251
CARD19,-0.13038468621929172,7.257858667562243,-0.6134028525220889,0.5430801606040085,1,-6.82408746893387
SNRPD2,0.08473444584802833,8.170307473871587,0.6130026017434735,0.5433421355062877,1,-7.045805666635626
PLCG1,-0.10602668939862812,7.3248446579053486,-0.6123112210498227,0.5437948165233142,1,-6.850541884468768
EEF1G,0.05441978603004843,10.817766686552636,0.6107938000545124,0.5447890290583767,1,-7.615398657424021
H2BC8,0.09671471306341128,8.251763414310947,0.6088325610542641,0.5460754174360276,1,-7.066740713982309
HNRNPH1,0.08056612245673708,8.890446623140656,0.6084779488267649,0.5463081764322613,1,-7.215781633835684
FMN1,-0.12542201818509874,7.276683145912867,-0.6069824299858254,0.5472903602790391,1,-6.834141446753038
TGIF1,-0.10194248348541807,7.193311173013311,-0.6046656219547716,0.5488137151374274,1,-6.819967619656099
YY1,0.08954585289000208,7.808217173845769,0.6037800532233788,0.5493965703508181,1,-6.9633111401206875
ZNF609,-0.09499736784902321,7.555698622032055,-0.601611967716496,0.5508248762252881,1,-6.90439395925345
SYNGR2,0.07472888288694525,8.611584207231434,0.6008383421688452,0.5513349890696775,1,-7.157356781150707
DYNC1I2,0.09273456847592135,7.38701168620047,0.5967994708311769,0.5540020458816186,1,-6.861913296480597
TRPC4AP,0.11366169335600346,7.36812101201733,0.596428110993866,0.5542476009427046,1,-6.849703262124673
MAP4K4,0.0950688775909928,7.986799713237751,0.5958173231870612,0.5546515936542097,1,-7.011034972041887
SLIT3,0.1287049863008375,7.404335664084532,0.5944758149059504,0.5555394302827191,1,-6.873170531256915
TNPO1,-0.10922044735901057,7.310045104811183,-0.5931526619447971,0.5564158239734213,1,-6.849037417243127
BIN1,0.121433455138706,7.131912006490676,0.5919637549757171,0.5572038958599295,1,-6.806870184619102
SFT2D2,0.10421288321709503,7.697194186645987,0.5919502838064701,0.5572128285114464,1,-6.943372930244389
GRB2,0.10307569401845998,7.740341445389962,0.5906199806721749,0.5580953008579681,1,-6.954609651216558
MT1M,0.10986786831249751,7.417817089051367,0.5890487428241196,0.5591385078877916,1,-6.872592971052442
STC1,-0.1576547056646323,7.545675653052913,-0.5889100120897491,0.5592306639012848,1,-6.916100990418683
EIF3A,0.07072367111543038,8.725043154591042,0.5887464030020957,0.5593393559326866,1,-7.190676909333594
CABIN1,-0.11036477905886946,7.0789052700613455,-0.5880823006879059,0.5597806547667472,1,-6.807382382432081
SLC25A39,0.09578942322786885,7.419929910556188,0.5851214845055792,0.5617502595381569,1,-6.877457007265474
IGSF8,-0.1063898536746846,7.454892002338865,-0.5840256887659444,0.5624800892960382,1,-6.88530728768424
ENO2,0.08749909193532107,7.62283085960234,0.5824488004710758,0.5635311729574316,1,-6.929145065970281
ARL2,0.11796184819805022,7.618980330228264,0.582249975319993,0.5636637706912342,1,-6.92630098701487
LIMD1,-0.10565742159452621,7.194541936559644,-0.5819891748894436,0.5638377237807772,1,-6.838154119771383
TMEM14C,0.06989505995073711,8.589710791176923,0.576744135617047,0.5673418358395095,1,-7.167971015729076
"NSUN5P2,NSUN5,NSUN5P1",-0.09875754790026732,7.80504878688214,-0.5762626456513595,0.56766405200513,1,-6.979862885504072
RAVER1,-0.08950802555697399,7.589028327784136,-0.5756028502499793,0.5681057389187667,1,-6.925686554652793
CIAO2B,0.10369854340161434,7.451679321497141,0.5744722938638314,0.5688629638496306,1,-6.883495830199808
AKT1,-0.09749900127507541,7.539683174203292,-0.5738116666360238,0.5693056708122117,1,-6.914786625023501
DYNLRB1,-0.08804656593875708,8.118404133682759,-0.5732692834971921,0.5696692662798526,1,-7.058294974676031
TK1,-0.0933811475820117,7.797237484937916,-0.5729277329573295,0.5698982892985661,1,-6.978416237012565
RSRP1,0.11389636756097499,7.428806611052811,0.5720094019265476,0.5705142921472186,1,-6.886821561744885
FUBP3,0.10578905051589316,7.209030617218302,0.5699535391895868,0.571894526829381,1,-6.826364543799082
SLC39A1,-0.09211581296009808,7.421027487388237,-0.5693294530816411,0.5723138422373789,1,-6.887797506688409
EIF4E2,-0.09888312202625898,7.489879543107797,-0.5688728913809106,0.572620696126106,1,-6.907762422421882
CARM1,-0.10367033022937364,7.327519582617657,-0.5672766547535749,0.5736941591804566,1,-6.875542653649999
H2AC14,-0.108166267421469,8.020432370210207,-0.5669609767780525,0.5739065685882976,1,-7.038262198493253
UBE2V2,-0.087150278535766,7.494927251126797,-0.5663567629660193,0.574313232143195,1,-6.910416230780761
CST7,-0.09586065517180674,8.352411603404374,-0.5640480035813462,0.5758684356403472,1,-7.121282044718785
GMPPB,0.10626782767061235,7.300061587958912,0.5626113240125004,0.576837237988491,1,-6.857427705142523
ILK,0.09388250681440155,7.802395470915339,0.5625714001986184,0.5768641713697311,1,-6.98696834998202
ANP32A,0.09808455919122057,7.177592693085023,0.5593585935023293,0.5790336074252629,1,-6.827374781627456
RNASEH1,-0.10233848045844761,7.396597539400284,-0.5593203239498277,0.5790594727503132,1,-6.890319134044614
TUBB2A,0.0889635940299836,7.834118020623564,0.5581597309805832,0.5798441525820637,1,-6.994782769703652
NPDC1,0.07461194773887389,8.451756759506525,0.5565772345792388,0.5809149155757019,1,-7.145632164559139
ATP6AP2,0.07342568875742676,7.79251086923869,0.5543881764489529,0.5823976773815354,1,-6.988945617827952
FBXO7,0.11232812509276256,7.186162383569583,0.5543093796237755,0.5824510847078193,1,-6.842875833617183
AMOTL1,-0.1042415681093535,7.4481682206412785,-0.5533311177023582,0.583114333736283,1,-6.903085211704446
TRPT1,-0.08875364131597921,7.2497462575563505,-0.5523714776351015,0.5837653123199078,1,-6.8596480291731465
INO80E,-0.08181440685212862,8.081303397678639,-0.551081443759268,0.5846409690340231,1,-7.060096659317519
NAGK,0.09819940627350264,7.101829319134896,0.5502978900058626,0.5851731435258912,1,-6.8194295258714925
"PLGLB1,PLGLB2",-0.09163863646681954,7.277439605524261,-0.5483419813625532,0.5865025770391032,1,-6.870953652779819
MFGE8,0.09005936438347775,8.944057603928592,0.547145286043733,0.5873166881871574,1,-7.262879683440994
ZNF346,0.11583145368636968,7.221332307203578,0.5466768957194323,0.5876354816253262,1,-6.842717453585259
NPRL3,0.09472466708970284,7.488914602769128,0.539082915204811,0.5928156133671032,1,-6.917279258173323
TRA2B,-0.06869513048815809,8.281275105271837,-0.5385569916927431,0.5931751680961284,1,-7.1164851598764
NME1,-0.07818607235149579,8.355013270918016,-0.5384200499954649,0.5932688071520438,1,-7.134038960851066
AGPAT2,0.0870442388308588,7.611007866047329,0.537124043131879,0.5941553485006674,1,-6.950855210149228
PRDX6,0.10052408849391077,7.08043103556283,0.5365760022025708,0.5945304282848977,1,-6.82169054056244
CDK2AP1,-0.06147543979496873,9.438216773359855,-0.5339209101714448,0.596349164007528,1,-7.375476092656127
MRPS18B,0.07790156366714555,7.845339927696553,0.5298282738771715,0.5991577564159201,1,-7.014449709187144
RPL18A,0.05532262427563792,9.741221975264441,0.5276646129176257,0.6006450894484537,1,-7.441793737173714
PURA,0.0860680540568626,7.686960922130933,0.5269778227461971,0.6011175611741637,1,-6.97610339185561
TNFRSF12A,-0.07072778847462849,9.064814287748156,-0.5250098127783411,0.6024724013122866,1,-7.302317403039124
IFITM2,-0.08648230432007022,7.893016597316916,-0.5248099162514702,0.6026100962141183,1,-7.0305225578743755
SAE1,-0.09192329958938392,7.4482067710786435,-0.5241058405664645,0.6030952023831622,1,-6.918748237609418
TXLNA,-0.10482922901733427,7.135700194586732,-0.5240507318267437,0.6031331798436017,1,-6.857535100403332
PRPF8,-0.10255438781997392,7.421807845995911,-0.5239883053600746,0.6031762015677283,1,-6.914648801575292
CHERP,-0.10808437353650648,7.281718473870006,-0.5232210384974385,0.6037050869487848,1,-6.885278104505982
SOCS1,-0.0927355542868243,7.626763312292346,-0.5223044244583072,0.6043372023502043,1,-6.965891634822259
ARHGAP1,0.09244864967170874,7.644931236762747,0.5199542197193153,0.6059593577127749,1,-6.969165178569675
MLF2,0.08804398999661925,7.67512834117918,0.51994950533682,0.6059626136995935,1,-6.977248431906307
CHD2,-0.10835599950649412,7.335054076789085,-0.5192441740799466,0.6064498420364837,1,-6.906803286504631
MBTPS1,0.09484999590763499,7.527422244211816,0.5165873087998056,0.6082867798949128,1,-6.935832091910769
RAD23B,-0.08279864430434497,8.292202835211146,-0.5158236814492716,0.6088152221305411,1,-7.1318275983633574
GLMP,-0.10405973660526284,7.995583641760012,-0.515692549856651,0.6089059886051291,1,-7.056870990391662
TNFRSF19,0.08580025786171729,7.5337093379658615,0.5149851016912804,0.6093957768296066,1,-6.940958767956776
PHB,-0.08255826109308345,8.000947449107777,-0.514170633243033,0.6099598835382309,1,-7.0608491066711245
SF3B1,-0.10184459872884022,7.5193679621570455,-0.511527145296033,0.6117924386219218,1,-6.9473709199522
TNFAIP1,-0.11172905380055234,7.352577491051849,-0.5109700725173695,0.612178942731398,1,-6.912729249539802
PAPSS1,0.09461770270814718,7.173199708951451,0.5109699082613268,0.6121790567108376,1,-6.86206381715948
SRSF7,-0.07995360071560283,7.389685283302511,-0.5108436316744333,0.6122666845863918,1,-6.916403225140356
SH3KBP1,0.07335541130274152,7.858180930076168,0.5100659682937821,0.6128064600868748,1,-7.02896349042624
KDELR1,-0.08954410341526674,7.691801990371125,-0.5088132478005507,0.6136764308350943,1,-6.988560441288162
TRAPPC14,0.09392740097579141,7.312175423342805,0.507662708156021,0.6144759382340481,1,-6.899723433664882
CCT2,-0.07720038665172509,8.07707256721803,-0.5047424826813917,0.6165073305927988,1,-7.084095025059139
SSBP4,0.07046137498459781,7.96030193850552,0.5037976524623985,0.6171652355879572,1,-7.056765194792864
"LOC100132004,LOC105378283,LOC100132154,ANKRD30BL,LOC644669,ANKRD30BP2",0.09585141338063671,7.22182087438262,0.5032300699542733,0.6175606085538655,1,-6.878979045138775
IK,0.09231512517165986,7.240540803624649,0.5026635552328906,0.6179553524230952,1,-6.880131091125775
LTBP3,0.1053813235392055,7.254004406137275,0.5025397448173271,0.6180416379875098,1,-6.876855698060513
CHD3,0.08797486271422397,7.161028777159887,0.5012340977061404,0.6189518981672026,1,-6.861524156186263
ZDHHC18,0.10347993623630275,7.106667490304825,0.5007541048128268,0.6192866882654311,1,-6.8465758027689425
TSC22D1,-0.05296185837374053,9.782248135739744,-0.4961748709127977,0.6224847700919159,1,-7.4679581847864505
SLC27A4,0.09092813977911225,7.5619846545837355,0.4951952045799318,0.6231699213103508,1,-6.9613125954457615
RPS18,-0.034436818005682275,11.275896423112147,-0.4936025381263803,0.6242845103384209,1,-7.7798716016827925
STBD1,-0.09239044644984633,7.212087706688427,-0.4910611784622489,0.6260648678488818,1,-6.881771812499358
CDC73,0.08459507013466099,7.604728441781456,0.4902038613951685,0.6266659754060971,1,-6.974097603290062
HUWE1,0.08530832313949079,7.4020897450065535,0.4875532494795991,0.6285260779443984,1,-6.927368253111796
PHC1,-0.08670473518239723,7.302486250873804,-0.4864332674708996,0.6293127775522838,1,-6.909477044377566
CFLAR,0.07885703167447539,7.4302481816946715,0.4854413125008761,0.63000991300933,1,-6.935454029566801
"SSX7,SSX4,SSX8P,SSX3,SSX4B",0.09669784367185041,7.12421879455769,0.4828711764555204,0.6318177678556705,1,-6.859765684671533
ALAS1,-0.08790626410956019,7.276806620685127,-0.48193169184494905,0.632479180533442,1,-6.902178044179286
TMX4,-0.08132236854917743,7.685467445520414,-0.4816158294955181,0.6327016214301457,1,-7.000635027110148
TAF15,0.07623955649962273,7.780541654799676,0.47994405917951527,0.6338795122467669,1,-7.024671162058138
CKS2,0.07924518402815281,7.838500394082166,0.4797827876265259,0.6339931914636946,1,-7.037635883278547
HDGF,0.06236242058090275,8.482045951830584,0.47679816703658795,0.6360986458820673,1,-7.1957099750812965
